planner,task_id,intent,variant,rounds,success_rate,avg_response_s
mock,var_home,回到初始位置,让机械臂收回到安全位置,5,0.0,0.0062
mock,var_home,回到初始位置,机器人回一下原点位置,5,0.0,0.0094
mock,var_home,回到初始位置,把机械臂归位,5,0.0,0.0
mock,var_home,回到初始位置,末端回到基准位置,5,0.0,0.0094
mock,var_joint_move,移动到指定位置,把机械臂转到工位A那边,5,0.0,0.0
mock,var_joint_move,移动到指定位置,让末端执行器移到A点,5,0.0,0.0
mock,var_joint_move,移动到指定位置,机器人手臂摆到第一个工位,5,0.0,0.0
mock,var_joint_move,移动到指定位置,把机械臂挪到指定工位,5,0.0,0.0
mock,var_linear_move,直线运动到目标点,沿着笔直的路径走过去,5,0.0,0.0
mock,var_linear_move,直线运动到目标点,不拐弯地走到那个点,5,0.0,0.0
mock,var_linear_move,直线运动到目标点,末端笔直推进到目标点,5,0.0,0.0
mock,var_linear_move,直线运动到目标点,沿着直线轨迹移动,5,1.0,0.0062
mock,var_status,读取机器人状态,关节角度现在是多少,5,0.0,0.0062
mock,var_status,读取机器人状态,机器人各轴转了多少,5,0.0,0.0
mock,var_status,读取机器人状态,机械臂现在是什么姿态,5,0.0,0.0
mock,var_status,读取机器人状态,报一下末端的坐标,5,0.0,0.0
mock,var_memory_move,记忆驱动搬运,上次看到的红色零件，帮我搬到右边去,5,0.0,0.0
mock,var_memory_move,记忆驱动搬运,还记得那个红色零件吗，把它放到右侧,5,0.0,0.0
mock,var_memory_move,记忆驱动搬运,之前看到的那颗红零件，移到右边区域,5,0.0,0.0188
mock,var_memory_move,记忆驱动搬运,把右区那个红色东西带过去,5,0.0,0.0
mock,var_scan,扫描工作台并报告,看看台面上有哪些东西,5,0.0,0.0
mock,var_scan,扫描工作台并报告,工作台上现在放了什么,5,0.0,0.003
mock,var_scan,扫描工作台并报告,清点一下桌上的零件,5,0.0,0.0032
mock,var_scan,扫描工作台并报告,桌上都有什么,5,0.0,0.0
