id,category,round,success,total_s,plan_s,exec_s,goal,steps,recall,recall_sources
simple_move,简单任务执行,1,True,2.2511,2.2508,0.0003,将红色零件从右侧区域移动到检测区,3,,
simple_move,简单任务执行,2,True,2.045,2.0447,0.0003,将红色零件从当前位置移动到检测区,6,,
simple_move,简单任务执行,3,False,1.8078,1.8076,0.0003,将红色零件从当前位置移动到检测区,4,,
multi_step_scan,多步骤任务规划,1,True,1.5879,1.5876,0.0004,获取工作台扫描结果，确认红色零件位置并报告,3,,
multi_step_scan,多步骤任务规划,2,True,1.5516,1.5513,0.0003,获取工作台扫描结果并定位红色零件,3,,
multi_step_scan,多步骤任务规划,3,True,2.2887,2.2884,0.0003,获取工作台扫描结果，确认红色零件位置并报告,3,,
semantic_query,语义记忆查询,1,True,2.0687,2.0684,0.0004,确定红色物体的当前位置并告知用户,3,True,语义检索
semantic_query,语义记忆查询,2,True,2.1031,2.1028,0.0003,确定红色物体的位置并告知用户,3,True,语义检索
semantic_query,语义记忆查询,3,True,2.2519,2.2515,0.0005,确定红色物体的位置并告知用户,3,True,语义检索
status_feedback,机器人状态反馈,1,True,1.2633,1.2633,0.0,获取机器人当前的位置坐标或区域描述。,1,,
status_feedback,机器人状态反馈,2,True,1.7872,1.7872,0.0,获取机器人当前的位置坐标或区域描述。,1,,
status_feedback,机器人状态反馈,3,True,3.0132,3.0132,0.0,获取机器人当前的位置坐标或区域描述。,1,,
memory_save,记忆保存,1,True,1.3218,1.3038,0.0179,将B区域位置信息保存到记忆中,1,,
memory_save,记忆保存,2,True,1.5705,1.5497,0.0208,将B区域位置信息保存到记忆中,1,,
memory_save,记忆保存,3,True,1.9213,1.8978,0.0234,将B区域位置信息保存到记忆中,1,,
reference_resolution,指代消解,1,True,1.9211,1.9211,0.0,将红色零件放置到成品区,3,,
reference_resolution,指代消解,2,True,1.5676,1.5676,0.0,将红色零件放置到成品区,3,,
reference_resolution,指代消解,3,False,1.4213,1.4212,0.0001,将红色零件放置到成品区,2,,
