method,task_id,category,standard,standard_success_rate,variant_success_rate,avg_response_s
rule,T01,basic_motion,机器人回到初始位置,1.0,0.2,0.0025
rule,T02,basic_motion,移动机器人末端到A点,1.0,0.25,0.0039
rule,T03,basic_motion,执行直线运动到目标点,1.0,0.25,0.0047
rule,T04,status,读取机器人当前关节状态,1.0,0.25,0.0094
rule,T05,status,读取机器人当前TCP位姿,1.0,0.0,0.0039
rule,T06,planning,让机器人移动到工作区域,1.0,0.5,0.007
rule,T07,complex_planning,完成一个零件搬运流程,1.0,0.25,0.0016
rule,T08,complex_planning,移动到工作区域并读取当前状态,1.0,0.0,0.0062
rule,T09,memory,把之前看到的红色零件移动到右侧区域,1.0,0.0,0.0032
rule,T10,memory,记住：B区域在检测区右侧,1.0,0.0,0.0047
rule,T11,vision,扫描工作台并报告所有零件位置,1.0,0.0,0.0
rule,T12,memory,查询环境记忆中的区域位置,1.0,0.25,0.0054
llm,T01,basic_motion,机器人回到初始位置,1.0,0.8,1.3968
llm,T02,basic_motion,移动机器人末端到A点,1.0,1.0,2.0367
llm,T03,basic_motion,执行直线运动到目标点,1.0,1.0,1.7515
llm,T04,status,读取机器人当前关节状态,1.0,1.0,1.2789
llm,T05,status,读取机器人当前TCP位姿,1.0,0.25,1.2171
llm,T06,planning,让机器人移动到工作区域,1.0,0.75,1.8304
llm,T07,complex_planning,完成一个零件搬运流程,1.0,1.0,3.1663
llm,T08,complex_planning,移动到工作区域并读取当前状态,1.0,0.5,1.8961
llm,T09,memory,把之前看到的红色零件移动到右侧区域,1.0,0.75,2.8117
llm,T10,memory,记住：B区域在检测区右侧,1.0,1.0,1.5953
llm,T11,vision,扫描工作台并报告所有零件位置,1.0,1.0,1.4203
llm,T12,memory,查询环境记忆中的区域位置,1.0,0.75,1.4796
