task_id,task_type,input,evaluation,rounds,no_rag_answer_ok_rate,no_rag_keyword_hits_avg,no_rag_cited_rate,no_rag_avg_s,rag_answer_ok_rate,rag_keyword_hits_avg,rag_cited_rate,rag_avg_s
task_201,knowledge,MOVEJ和MOVEL有什么区别？,answer_and_citation,3,1.0,2.0,0.0,2.695,1.0,4.0,1.0,1.5949
task_202,knowledge,机器人报警应该如何处理？,answer_and_citation,3,0.0,0.0,0.0,2.827,1.0,4.0,1.0,2.6889
task_203,knowledge,执行直线运动需要注意哪些参数？,answer_and_citation,3,1.0,1.0,0.0,3.2738,1.0,4.0,1.0,2.6587
task_204,knowledge,RAPID Socket通信客户端断开如何处理？,answer_and_citation,3,1.0,1.0,0.0,4.1092,1.0,3.0,1.0,1.6794
task_205,knowledge,机器人靠近奇点报50026如何避免？,answer_and_citation,3,1.0,2.0,0.0,3.3387,1.0,4.0,1.0,2.5845
task_206,knowledge,RAPID运动指令中的速度参数v1000代表什么？,answer_and_citation,3,1.0,4.0,0.0,1.5278,1.0,4.0,1.0,1.189
task_207,knowledge,本项目TCP通信协议中坐标用什么单位？,answer_and_citation,3,1.0,2.0,0.0,1.1837,1.0,1.0,1.0,1.1482
task_208,knowledge,执行直线搬运前需要做什么准备？,answer_and_citation,3,0.0,0.0,0.0,3.0666,1.0,4.0,1.0,2.221
task_209,knowledge,机器人报50442轴配置错误应该怎么处理？,answer_and_citation,3,1.0,2.0,0.0,3.5329,1.0,4.0,1.0,1.1758
task_210,knowledge,SocketAccept超时为什么会触发40195限制错误？,answer_and_citation,3,1.0,2.33,0.0,4.1358,1.0,4.0,1.0,1.3473
