planner,task_id,category,expression_type,expression,rounds,success_rate,avg_response_s
deepseek,T01,basic_motion,standard,机器人回到初始位置,5,1.0,1.4186
deepseek,T01,basic_motion,variant,回零,5,1.0,1.1344
deepseek,T01,basic_motion,variant,让机械臂回到原点,5,1.0,1.0624
deepseek,T01,basic_motion,variant,恢复初始姿态,5,1.0,1.1812
deepseek,T01,basic_motion,variant,回到等待位置,5,0.0,2.1406
deepseek,T01,basic_motion,variant,把机器人收回去,5,1.0,1.4656
deepseek,T02,basic_motion,standard,移动机器人末端到A点,5,1.0,2.0658
deepseek,T02,basic_motion,variant,让机械臂移动到A位置,5,1.0,2.0468
deepseek,T02,basic_motion,variant,把末端执行器挪过去,5,1.0,1.8718
deepseek,T02,basic_motion,variant,机械臂去目标点等待,5,1.0,2.222
deepseek,T02,basic_motion,variant,把手臂摆到A点那边,5,1.0,2.0062
deepseek,T03,basic_motion,standard,执行直线运动到目标点,5,1.0,1.5782
deepseek,T03,basic_motion,variant,沿着笔直的路径走过去,5,1.0,1.622
deepseek,T03,basic_motion,variant,不拐弯地走到那个点,5,1.0,2.2592
deepseek,T03,basic_motion,variant,末端笔直推进到目标位置,5,1.0,1.6126
deepseek,T03,basic_motion,variant,走一条直线到目标,5,1.0,1.5124
deepseek,T04,status,standard,读取机器人当前关节状态,5,1.0,1.0344
deepseek,T04,status,variant,关节角度现在是多少,5,1.0,1.022
deepseek,T04,status,variant,机器人各轴转了多少,5,1.0,1.2718
deepseek,T04,status,variant,报一下当前的关节位置,5,1.0,1.3876
deepseek,T04,status,variant,各关节现在什么角度,5,1.0,1.4342
deepseek,T05,status,standard,读取机器人当前TCP位姿,5,1.0,1.2658
deepseek,T05,status,variant,末端的坐标是多少,5,0.0,1.2374
deepseek,T05,status,variant,报一下机械臂末端的位置,5,0.2,1.1126
deepseek,T05,status,variant,TCP现在在哪里,5,0.8,1.3436
deepseek,T05,status,variant,末端工具当前姿态,5,1.0,1.175
deepseek,T06,planning,standard,让机器人移动到工作区域,5,1.0,1.6562
deepseek,T06,planning,variant,把机械臂开到工作区,5,1.0,1.4468
deepseek,T06,planning,variant,到工位那边去,5,1.0,2.525
deepseek,T06,planning,variant,机器人在工作区域待命,5,0.2,1.8594
deepseek,T06,planning,variant,挪到作业位置,5,1.0,1.4906
deepseek,T07,complex_planning,standard,完成一个零件搬运流程,5,1.0,3.9062
deepseek,T07,complex_planning,variant,把这个零件搬到另一个地方,5,1.0,2.9688
deepseek,T07,complex_planning,variant,执行一次搬运作业,5,1.0,3.4968
deepseek,T07,complex_planning,variant,把工件从这边移到那边,5,1.0,2.1436
deepseek,T07,complex_planning,variant,做一次取放循环,5,1.0,4.0562
deepseek,T08,complex_planning,standard,移动到工作区域并读取当前状态,5,1.0,1.6314
deepseek,T08,complex_planning,variant,到工位后看看机器人状态,5,0.0,1.9656
deepseek,T08,complex_planning,variant,先过去再查一下关节位置,5,0.8,1.825
deepseek,T08,complex_planning,variant,到作业位置并报告姿态,5,1.0,2.0656
deepseek,T08,complex_planning,variant,开过去之后读一下状态,5,1.0,1.7282
deepseek,T09,memory,standard,把之前看到的红色零件移动到右侧区域,5,1.0,2.3968
deepseek,T09,memory,variant,上次看到的红色零件，帮我搬到右边去,5,1.0,3.1688
deepseek,T09,memory,variant,还记得那个红色零件吗，把它放到右侧,5,1.0,2.2686
deepseek,T09,memory,variant,之前看到的那颗红零件，移到右边区域,5,1.0,3.4376
deepseek,T09,memory,variant,把记忆里的红零件送到右边,5,0.8,2.3718
deepseek,T10,memory,standard,记住：B区域在检测区右侧,5,1.0,1.3626
deepseek,T10,memory,variant,记一下B区域在检测区右边,5,1.0,1.4314
deepseek,T10,memory,variant,保存一条信息，B区在检测区右侧,5,1.0,1.4156
deepseek,T10,memory,variant,把B区域的位置记住,5,1.0,1.9218
deepseek,T10,memory,variant,记牢：B区在检测区东边,5,1.0,1.6124
deepseek,T11,vision,standard,扫描工作台并报告所有零件位置,5,1.0,1.306
deepseek,T11,vision,variant,看看台面上有哪些东西,5,1.0,1.3938
deepseek,T11,vision,variant,工作台上现在放了什么,5,1.0,1.2998
deepseek,T11,vision,variant,清点一下桌上的零件,5,1.0,1.6064
deepseek,T11,vision,variant,盘点一下台面都有什么,5,1.0,1.381
deepseek,T12,memory,standard,查询环境记忆中的区域位置,5,1.0,1.4968
deepseek,T12,memory,variant,A区域在哪个位置,5,1.0,1.5844
deepseek,T12,memory,variant,还记得A区域在哪吗,5,1.0,1.5126
deepseek,T12,memory,variant,查一下环境信息里A区的位置,5,0.0,1.3968
deepseek,T12,memory,variant,A区域之前记在哪里,5,1.0,1.4248
